loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,493,28.6,49.30,2.86,2026-05-05 14:35:36
2,10,169,9.7,16.90,0.97,2026-05-05 14:35:46
3,10,310,17.7,31.00,1.77,2026-05-05 14:35:56
4,10,528,30.5,52.80,3.05,2026-05-05 14:36:06
5,10,736,42.4,73.60,4.24,2026-05-05 14:36:16
6,10,645,36.7,64.50,3.67,2026-05-05 14:36:26
7,10,620,35.3,62.00,3.53,2026-05-05 14:36:37
8,10,714,40.4,71.40,4.04,2026-05-05 14:36:47
9,10,565,31.9,56.50,3.19,2026-05-05 14:36:57
10,10,734,41.7,73.40,4.17,2026-05-05 14:37:07
11,10,535,30.8,53.50,3.08,2026-05-05 14:37:17
12,10,505,29.1,50.50,2.91,2026-05-05 14:37:27
13,10,708,40.7,70.80,4.07,2026-05-05 14:37:37
14,10,561,31.6,56.10,3.16,2026-05-05 14:37:47
15,10,556,32.2,55.60,3.22,2026-05-05 14:37:57
16,10,614,34.4,61.40,3.44,2026-05-05 14:38:08
17,10,573,32.1,57.30,3.21,2026-05-05 14:38:18
18,10,631,35.1,63.10,3.51,2026-05-05 14:38:28
19,10,704,39.3,70.40,3.93,2026-05-05 14:38:38
20,10,525,29.2,52.50,2.92,2026-05-05 14:38:48
21,10,605,33.9,60.50,3.39,2026-05-05 14:38:58
22,10,548,30.5,54.80,3.05,2026-05-05 14:39:08
23,10,755,42.1,75.50,4.21,2026-05-05 14:39:18
24,10,745,41.7,74.50,4.17,2026-05-05 14:39:28
25,10,631,35.1,63.10,3.51,2026-05-05 14:39:38
26,10,548,30.5,54.80,3.05,2026-05-05 14:39:49
27,10,559,31.0,55.90,3.10,2026-05-05 14:39:59
28,10,637,35.6,63.70,3.56,2026-05-05 14:40:09
29,10,769,42.7,76.90,4.27,2026-05-05 14:40:19
30,10,704,39.1,70.40,3.91,2026-05-05 14:40:29
31,10,539,29.9,53.90,2.99,2026-05-05 14:40:39
32,10,609,34.0,60.90,3.40,2026-05-05 14:40:49
33,10,763,42.9,76.30,4.29,2026-05-05 14:40:59
34,10,529,29.9,52.90,2.99,2026-05-05 14:41:09
35,10,813,45.8,81.30,4.58,2026-05-05 14:41:20
36,10,647,36.6,64.70,3.66,2026-05-05 14:41:30
37,10,618,34.6,61.80,3.46,2026-05-05 14:41:40
38,10,788,44.1,78.80,4.41,2026-05-05 14:41:50
39,10,621,34.7,62.10,3.47,2026-05-05 14:42:00
40,10,833,46.4,83.30,4.64,2026-05-05 14:42:10
41,10,647,36.1,64.70,3.61,2026-05-05 14:42:20
42,10,651,36.3,65.10,3.63,2026-05-05 14:42:30
43,10,599,33.4,59.90,3.34,2026-05-05 14:42:40
44,10,623,34.6,62.30,3.46,2026-05-05 14:42:51
45,10,530,29.6,53.00,2.96,2026-05-05 14:43:01
46,10,782,43.6,78.20,4.36,2026-05-05 14:43:11
47,10,566,31.6,56.60,3.16,2026-05-05 14:43:21
48,10,647,36.0,64.70,3.60,2026-05-05 14:43:31
49,10,640,35.6,64.00,3.56,2026-05-05 14:43:41
50,10,608,33.9,60.80,3.39,2026-05-05 14:43:51

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
619.60,34.8,61.96,3.48
